id,postal_code,area,city,province,aliases
d260d11b-2dbc-4ba2-921c-7879257ca40c,7300,ABBOTSDALE,MALMESBURY,Western Cape,
39373d90-dc7e-4e90-a90c-d1bf2835dd5b,7300,CHATSWORTH,MALMESBURY,Western Cape,
e145493e-5c60-4b51-9faf-bdcfba629fdb,7305,DANCKERTVILLE,MALMESBURY,Western Cape,
4967884e-3c8f-4763-bb43-9cc136bb99b5,7300,DIE WINGERD,MALMESBURY,Western Cape,
43dcf237-b14d-4ecb-88b8-c99599fa2c28,7300,ESTHERHOF,MALMESBURY,Western Cape,
ebf5d9f7-09ea-4f7f-ad81-84e0e17683c1,7308,HERMON,MALMESBURY,Western Cape,
7739e195-c094-44de-af46-1256e0b4ba1a,7300,ILINGE LETHU,MALMESBURY,Western Cape,
bccf8570-c77e-4db2-a1c4-62aebe5da942,7302,KALBASKRAAL,MALMESBURY,Western Cape,
6d33d9f9-9602-453e-bb71-1e80eecb8c2d,7283,KLIPFONTEIN,MALMESBURY,Western Cape,
de2fa667-eb20-4c88-8ad5-6e9230ab73ff,7303,KLIPHEUWEL,MALMESBURY,Western Cape,
25228514-a924-404d-8820-cf1591dea1a1,7300,MALMESBURY,MALMESBURY,Western Cape,
6d3533cb-3d1c-46f2-9b7b-3e229ea1a412,7300,MALMESBURY EXT 1,MALMESBURY,Western Cape,MALMESBURY UIT 1
cd2cae43-6069-457d-88e2-007d3b82c8e0,7553,MIKPUNT,MALMESBURY,Western Cape,
29a8ee04-efd5-4234-8551-1848ebc9afff,7300,MOUNT ROYAL GOLF ESTATE,MALMESBURY,Western Cape,MOUNT ROYAL GOLF LANDGOED
405f1fd2-42e1-45c9-9ccf-28c651333424,7300,NEWCLAIRE,MALMESBURY,Western Cape,
abc853a8-9efb-47bb-a0d9-1f63f217eeb1,7300,PRISON EXT,MALMESBURY,Western Cape,GEVANGENIS UIT
5f80e300-ccb9-4dc2-9f1f-b1fac163d3ae,7300,RIEBEEK KASTEEL,MALMESBURY,Western Cape,RIEBEECK-KASTEEL
b289ed8c-4a0a-4e79-b05c-960765e1ddd0,7306,RIEBEEK WEST,MALMESBURY,Western Cape,RIEBEEK-WES|RIEBEECK WEST|RIEBEECK-WES
888cecdf-ee8f-4590-942a-ab22872e480c,7300,SAAMSTAAN,MALMESBURY,Western Cape,
de645005-21f1-408b-9109-44bea099b7f3,7300,TAFELSIG,MALMESBURY,Western Cape,
12b4aac0-12d0-46e9-82ed-d8c278cf2f93,7300,WEST BANK,MALMESBURY,Western Cape,WESBANK
