id,postal_code,area,city,province,aliases
24670ba3-3177-4d53-9ff2-4efa29630044,7441,ANNANDALE VILLAGE,MILNERTON,Western Cape,
ad54e89e-946a-4265-a319-5ac0cf54cff1,7441,ATLANTIC BEACH,MILNERTON,Western Cape,ATLANTIC STRAND
d8ff825d-5a61-46cf-89ff-557eb0c282d6,7441,ATLANTIC BEACH GOLF ESTATE,MILNERTON,Western Cape,ATLANTIC BEACH GHOLF LANDGOED
b5be5b25-3ff2-4325-ba35-4cdebaf435e4,7441,BEACH BOULEVARD,MILNERTON,Western Cape,
bbb43eb6-9d0e-46ce-843e-0e87fcd8a078,7441,BELLA CENTURION,MILNERTON,Western Cape,
81a5aa2b-0e3d-4110-b9f3-b2bc94a61ece,7441,BELLA VISTA,MILNERTON,Western Cape,
7118e578-b3ec-47eb-a55a-7261958ac95d,7441,BIG BAY,MILNERTON,Western Cape,
057ef634-2a56-4533-bd58-06e8375ffeed,7441,BIG BAY BEACH CLUB,MILNERTON,Western Cape,
af45df22-3d6d-4314-aa1a-946ac67f9e05,7441,BLOUBERG SANDS,MILNERTON,Western Cape,
43c6b606-54c0-49c4-a71e-c60e0064b9cf,7441,BLOUBERGRANT,MILNERTON,Western Cape,
c7758993-cd15-4a6b-afad-623a102a01a5,7441,BLOUBERGSTRAND,MILNERTON,Western Cape,
d9634a60-7e84-4afc-b4c4-76b11c20ced1,7441,BLOUBERGSTRAND EXT 1,MILNERTON,Western Cape,BLOUBERGSTRAND UIT 1
e72189cd-97c4-42b5-be5d-0323590dea8a,7441,CAMBRIDGE EST,MILNERTON,Western Cape,CAMBRIDGE LGD
bbe70804-f982-43aa-99dd-823ca9204986,7441,CENTURION BUSINESS PARK,MILNERTON,Western Cape,
88e3c928-7a53-4a82-8fe8-ff087a03566a,7441,CENTURY CITY,MILNERTON,Western Cape,
c4996678-e3c5-4a35-87f4-88ad9800bd51,7441,CENTURY ON LAKE,MILNERTON,Western Cape,
e8bf4a5a-d00e-418a-bc92-82f5d3793eac,7441,CENTURY PLACE,MILNERTON,Western Cape,
5d847642-3666-4cfe-991d-80d9ab42d49b,7441,CHEMPET,MILNERTON,Western Cape,
009ba972-b593-4ccd-985e-c60da2c39958,7441,DUNOON,MILNERTON,Western Cape,
6f77eb0b-df27-4395-b662-7b86718cedd3,7441,FLAMINGO SQUARE,MILNERTON,Western Cape,
4ce6a547-d7bc-403a-a95c-94c499a3cc5e,7441,FLAMINGO VILLAGE,MILNERTON,Western Cape,
70c49d13-501a-4763-bd05-d6324348798c,7441,JOE SLOVO PARK,MILNERTON,Western Cape,JOE SLOVOPARK|JOE SLOVO CAMP|JOE SLOVOKAMP
7082c540-1f33-49ca-b80d-c7069f2c853d,7441,KILLARNEY GARDENS,MILNERTON,Western Cape,
36a6e589-19cf-4b3a-ab7d-d37b69ad354d,7441,KOEBERG,MILNERTON,Western Cape,
455d71c2-8b1c-43df-90ec-396c50a134ff,7441,LA PALOMA,MILNERTON,Western Cape,
62a3e131-be4f-488b-aa03-51364762c78f,7441,MALAGAS PARK,MILNERTON,Western Cape,
bc95f942-2f59-4169-8558-74e4ffc82491,7447,MARCONI BEAM,MILNERTON,Western Cape,MARCONIBEAM
5302eae0-a632-447a-93a8-a8129dad02f4,7441,MILNERTON RIDGE,MILNERTON,Western Cape,
85ac5fac-c559-4954-8e84-6a8056f2f26a,7441,MONTAGUE GARDENS,MILNERTON,Western Cape,MONTAGUE TUINE
45d2131d-e700-4af4-a009-7773e507e3cd,7441,NORTON SQUARE,MILNERTON,Western Cape,
3f823ccd-e9e3-4d77-9fd5-c86bb1901940,7441,PARKDRIVE,MILNERTON,Western Cape,
51d8b6f4-20a0-40e5-910d-861658732e92,7441,PARKLANDS,MILNERTON,Western Cape,
befe805e-5d07-4259-82d0-c27f2dceae7b,7441,PHOENIX,MILNERTON,Western Cape,
17a7b5b6-da1b-4c7b-b35e-af71e96e5dce,7441,POTSDAM,MILNERTON,Western Cape,
71e3460a-85cd-41da-a53a-44c8ed10a4c3,7441,RACE COURSE PARK,MILNERTON,Western Cape,RACECOURSE PARK
06b3533c-1d9e-4827-bac4-528d3ffa4bd9,7441,RICHWOOD,MILNERTON,Western Cape,
28877b6f-5661-4f57-bf7f-23d264189055,7441,RIVER HAMLET,MILNERTON,Western Cape,
610c2b91-9c08-4238-a8cf-270a155fec46,7441,ROYAL ASCOT,MILNERTON,Western Cape,
d060ca93-f202-4b94-ace9-583c0919b3d2,7441,SANDDRIFT,MILNERTON,Western Cape,
6fa883b1-1725-4ba4-b11f-265cb7759eac,7441,SUMMER GREENS,MILNERTON,Western Cape,
2a26a545-8b1c-488d-b97a-558e4e43a67f,7441,SUNNINGDALE,MILNERTON,Western Cape,
8f1696f6-d42f-48bc-bf08-3e8aebda4ac2,7441,SUNSET BEACH,MILNERTON,Western Cape,
e494c3df-d5a7-456a-960d-34534ddb3ab2,7441,THE RIVER HAMLET,MILNERTON,Western Cape,
c1d41a2c-9223-4dfd-a39d-cd4a3cb210b0,7441,TIJGERHOF,MILNERTON,Western Cape,
2f17436d-88f5-49b5-8a80-08d50d134fa0,7441,WAVES EDGE,MILNERTON,Western Cape,
d11fc078-ebc6-45a5-a09e-115ff5f07776,7441,WEST RIDING,MILNERTON,Western Cape,
f6a795ae-2d15-4ff9-b5fe-6319642ef7d1,7441,WESTHOVEN,MILNERTON,Western Cape,
8a6ed9bd-cdd0-41de-a728-b6d07035de92,7441,WHITE WATERS,MILNERTON,Western Cape,
cc2d2dec-0658-420a-8498-4b5a2f02799c,7441,WOODBRIDGE ISLAND,MILNERTON,Western Cape,
