id,postal_code,area,city,province,aliases
073a7400-42b7-477f-8e63-9f34b1fa58ef,6506,ASLA PARK,MOSSEL BAY,Western Cape,ASLAPARK
364a327f-8934-468d-9008-9dd0c8509ae6,6506,BAKKE,MOSSEL BAY,Western Cape,BAKKE|DE BAKKE
18a5e51a-8690-4446-81ce-b333d245ddc2,6506,BARCELONA,MOSSEL BAY,Western Cape,MOSSELBAAI
7d9bfced-e700-4c3c-be3f-fccbe2f3cdcc,6506,BRANDWACHT,MOSSEL BAY,Western Cape,MOSSELBAAI
60ffaa20-db6a-4f89-bc37-c9f73af1a7f9,6506,CHRIS HANI,MOSSEL BAY,Western Cape,MOSSELBAAI
e01d3a72-bc15-4edc-8ae8-56eb8b875932,6506,CIVIC PARK,MOSSEL BAY,Western Cape,MOSSELBAAI
dba93497-9f32-45b6-b162-bd8686e84b81,6506,D'ALMEIDA,MOSSEL BAY,Western Cape,MOSSELBAAI
55125625-fb5d-4aca-ad72-9eb7eb4aa2bc,6506,DA GAMASKOP,MOSSEL BAY,Western Cape,MOSSELBAAI
c86d68f0-6a26-4bb6-8f32-afd93e691fa3,6506,DA NOVA,MOSSEL BAY,Western Cape,MOSSELBAAI|DE NOVA
8c5f88aa-ca4e-4cb5-8053-b5442ad3efb2,6510,DANA BAY,MOSSEL BAY,Western Cape,DANABAAI|MOSSELBAAI
9bf5bc52-98e2-4b77-8247-51fc11df855d,6506,DIAZ STRAND,MOSSEL BAY,Western Cape,DIAZ STRAND
bfed22da-7b2d-4f36-94e6-34d118b7e89c,6506,ELANGENI,MOSSEL BAY,Western Cape,MOSSELBAAI
8bfefa09-3903-420e-969c-229889464d5d,6506,FAIRVIEW,MOSSEL BAY,Western Cape,FAIRVIEW
3c3aefaa-ff02-4be5-a9b2-c70bb196abbb,6506,GARDEN HILL,MOSSEL BAY,Western Cape,MOSSELBAAI
32021dac-229e-4d62-b4dd-9b3624b2c2de,6506,GENTSWANA,MOSSEL BAY,Western Cape,MOSSELBAAI
ba2a190c-75d7-45fe-bc35-6cc4ddaa2b37,6525,GREAT BRAK RIVER,MOSSEL BAY,Western Cape,GROOTBRAKRIVIER
fd761a19-c2ff-40ce-aca9-bf415e43ac39,6520,HARTENBOS,MOSSEL BAY,Western Cape,MOSSELBAAI
84e4f1f0-a25d-4c06-bb33-4c066db5bf64,6506,HEIDE VILLA,MOSSEL BAY,Western Cape,MOSSELBAAI
9fc7050a-8057-4c02-a8bc-daab4dde8717,6506,HEIDERAND,MOSSEL BAY,Western Cape,MOSSELBAAI
d57ef92a-d667-4bd9-9434-9873eafc3680,6506,HEIDERAND EXT 12,MOSSEL BAY,Western Cape,HEIDERAND UIT 12|MOSSELBAAI
