id,postal_code,area,city,province,aliases
0a73e56b-d99f-4a8b-88ca-9a7425219323,7500,AVONDALE,PAROW,Western Cape,
88cd9e1c-611d-490f-9509-cd37f0b69557,7500,BARONETCY EST,PAROW,Western Cape,BARONETCY LGD|BARONETCY ESTATE|BARONETCY LANDGOED
d328ff50-8d09-41e8-99a1-5bc61004d0b7,7500,BEACONVALE,PAROW,Western Cape,
ab04a71e-936e-4317-860d-4c3112b21081,7500,CHURCHILL ESTATE,PAROW,Western Cape,CHURCHILL LANDGOED
387dcbeb-d858-440b-a02f-e48edacc5fa4,7500,CLAM HILL,PAROW,Western Cape,
231621c4-948e-4e1f-9b2f-827e1ef3b50e,7500,DE DUIN,PAROW,Western Cape,
504a71ad-3e6c-48f8-80db-5538bf8a87a8,7500,DE TIJGER,PAROW,Western Cape,DE TIJGERPARK
2c16e4be-2516-4927-b0f0-ff06e2b36017,7500,FAIRFIELD ESTATE,PAROW,Western Cape,FAIRFIELD LANDGOED
a9d0b7ba-ab34-4fc3-821e-1d0032296ef5,7500,GLEN LILLY,PAROW,Western Cape,
11b1eceb-f7ac-4588-b9cf-83b1c1897118,7500,KAAPZICHT,PAROW,Western Cape,
44ba029e-729f-47f7-b8e7-0fdb23e14dbd,7500,KLEINBOSCH,PAROW,Western Cape,
540c9077-7bc4-4630-a3bf-71a0c50930cf,7500,NORTH GATE,PAROW,Western Cape,NORTH GATE EST|NORTH GATE LGD
c2a3d46c-6b32-4ffc-95c6-a6077523bf28,7500,OOSTERZEE,PAROW,Western Cape,
30428e68-6af1-4aba-aad9-269b011d094d,7500,PANORAMA,PAROW,Western Cape,
8a30b55c-55c0-4981-a9e2-2e09aa6ce5e6,7500,PAROW EAST,PAROW,Western Cape,PAROW-OOS
595a919e-36f5-479a-ad7e-0fbf41dd1ce1,7500,PAROW NORTH,PAROW,Western Cape,PAROW-NOORD
5a584f90-cbdd-42d5-9e46-7c1790eeffcf,7500,PAROW VALLEY,PAROW,Western Cape,PAROWVALLEI
70478b34-c42d-4436-8008-363ee08c9e22,7500,PAROW WEST,PAROW,Western Cape,PAROW-WES
43646a5d-46c7-4a3b-8899-47b060b3d052,7500,PLATTEKLOOF,PAROW,Western Cape,
eefea5b7-e893-42a9-a6cf-892ed1826d36,7500,PLATTEKLOOF EXT 1,PAROW,Western Cape,PLATTEKLOOF UIT 1
87892ba1-636f-4ba6-aa41-02874fc3da03,7500,PLATTEKLOOF EXT 2,PAROW,Western Cape,PLATTEKLOOF UIT 2
e78db792-6d9d-4c87-85cb-1a615e7bac38,7500,PLATTEKLOOF EXT 3,PAROW,Western Cape,PLATTEKLOOF UIT 3
a16221b3-c0e1-4bb0-96c6-59e0b79467b0,7500,PLATTEKLOOF EXT 4,PAROW,Western Cape,PLATTEKLOOF UIT 4
4a5c4db5-ddb5-4e83-981d-78b32fd35e4c,7500,SONNENDAL,PAROW,Western Cape,
d08b0014-fa43-43de-b246-51d76cdf136c,7500,SORRENTO,PAROW,Western Cape,
0ba08040-5353-4735-b480-b1e55e746aa1,7500,THE ISLANDS,PAROW,Western Cape,THE ISLAND
cb5e1954-23c5-4d14-8732-4ae0abf6dea4,7505,TYGERBERG,PAROW,Western Cape,
d7d6c28e-53ff-4568-a6fa-0313e57876e4,7500,WELGELEGEN,PAROW,Western Cape,
