id,postal_code,area,city,province,aliases
f90c2248-c90e-432e-8434-60eea47c35c8,6604,HARKERVILLE,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
09cebaac-e9ff-4348-94c6-211d9c63b483,6600,INDUSTRIAL AREA,PLETTENBERG BAY,Western Cape,INDUSTRIELE GEBIED|PLETTENBERGBAAI
bcb9d576-fe05-433e-bb2f-d2166042ea80,6605,KRANSHOEK,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
082c8624-ebc6-4201-9310-28efc7b4738c,6605,KWA-NOKOTHULA,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
1347ae92-27a9-4882-a9d9-43ef6b665d67,6600,KWANOKUTHULA,PLETTENBERG BAY,Western Cape,
3362e4f6-3aa1-4a9b-8fe3-21021bc3de13,6602,NATURE'S VALLEY,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
d509d708-7dc2-4d95-b423-eb276dcb23df,6600,NEW HORIZONS,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
3b81a6ef-159d-423d-bf89-9e804851ef2a,6600,PLETTENBERG BAY,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
a41b814f-490a-41eb-bf54-220b29d20b00,6602,THE CRAGS,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
f774bf0f-902a-4d5d-b219-239cd7863aed,6603,WITTEDRIF,PLETTENBERG BAY,Western Cape,PLETTENBERGBAAI
