id,postal_code,area,city,province,aliases
337a4fae-827a-4ed9-949c-54bfe38bcc10,7945,ALLENBY EST,RETREAT,Western Cape,ALLENBY LGD
c0423f33-f1c0-4931-85d6-317d81ccc117,7945,ARDLEIGH PARK,RETREAT,Western Cape,ARDLEIGHPARK
0786074d-a04d-4623-be93-c740ddedcf77,7945,BOSCHENDAL,RETREAT,Western Cape,
2a7430a9-1d58-4a59-804a-389ec78aa37e,7945,CAFDA,RETREAT,Western Cape,
b6138473-3213-4e61-9d9d-56c8404eb9c2,7945,CAPRICORN,RETREAT,Western Cape,
9a48748f-8abc-4d01-9fdd-43c4d8cab545,7945,CAPRICORN BEACH,RETREAT,Western Cape,CAPRICORNSTRAND
5a68c5fc-12a3-4b01-b05c-f505ce92fb94,7945,CAPRICORN PARK,RETREAT,Western Cape,CAPRICORNPARK
a0be604a-9dde-4dc3-88ab-b25f62c5267a,7945,CONSORT PARK,RETREAT,Western Cape,
8c7fd39b-c78d-48c8-955a-0e7bf8f79d43,7945,FARMEDGE,RETREAT,Western Cape,
4927eb53-1780-44b5-8637-dc972068f0a1,7945,FARMSIDE,RETREAT,Western Cape,
ac42d02c-8ce5-49df-914a-e406d71588d8,7945,GLEN EAGLES,RETREAT,Western Cape,GLEN EAGLE
6f5e2728-ef23-45d1-b4d4-42fcd034b394,7945,HAWTHORNE EST,RETREAT,Western Cape,HAWTHORNE LGD
219a2ab4-135d-4f10-8a9c-a2568dae99e9,7945,HEATHFIELD,RETREAT,Western Cape,
2fd61e43-faeb-42ea-a29a-b6b43c3eccc0,7945,HILLVIEW,RETREAT,Western Cape,
90975eb5-72d9-4e53-8cf7-5f7f913c7e61,7945,KIRSTENHOF,RETREAT,Western Cape,
2a6e77f4-14de-43d5-ab81-a1484210800f,7945,LAKEVIEW,RETREAT,Western Cape,
98be8a17-4d63-4f9d-8418-30eda19148cf,7945,LAVENDER HILL,RETREAT,Western Cape,
11083278-167b-4e4a-9750-f28f94b5df4a,7945,MONTAGU VILLAGE,RETREAT,Western Cape,
8b8a90e9-f0a8-4e08-aede-9e4f8c6a1c5e,7945,MOUNTAIN VIEW VILLAGE,RETREAT,Western Cape,
cb95d92f-5180-44f0-857e-812982259244,7945,ORCHARD VILLAGE,RETREAT,Western Cape,
70dfc898-ae03-40fd-bfd9-e5727de440c9,7945,POLLSMOOR,RETREAT,Western Cape,
eaaa60b5-1700-44e7-b010-cab673fd3fd9,7945,SEA WIND,RETREAT,Western Cape,
c411071d-25fb-460a-9c74-5d416fbd0479,7945,SILVER TREE EST,RETREAT,Western Cape,SILVER TREE LGD|SILVER TREE ESTATE|SILVER TREE LANDGOED
d6aee72b-66df-4f6e-93c6-d9de36538830,7945,SOMERSET PARK,RETREAT,Western Cape,
47f5c90d-0593-4881-be32-a7b8b3f48c40,7945,SQUARE HILL,RETREAT,Western Cape,
ba68a00c-7d9b-4d4e-a782-5a85e2f36e76,7945,STEENBERG,RETREAT,Western Cape,
d6f52b70-67e9-444e-831a-3a39bebc8bae,7945,VRYGROND,RETREAT,Western Cape,
f57683e4-e0bb-43d5-bc33-a8c70d8e7c68,7945,ZERILDA PARK,RETREAT,Western Cape,
f8bdcb9f-6d7b-49ad-8965-ccad3b1e0aab,7945,ZWAANSWYK,RETREAT,Western Cape,
4aadb2a5-ecad-4bdd-b870-af0c353d0694,7945,ZWAANSWYK EST,RETREAT,Western Cape,ZWAANSWYK LGD
