id,postal_code,area,city,province,aliases
1359bb0b-55e8-4aa7-84e9-f5cfaacd1857,6670,AALWYNFLEUR,RIVERSDALE,Western Cape,RIVERSDAL
538fa26f-650b-438a-98d3-7e0d071e9a65,6670,ALOE RIDGE,RIVERSDALE,Western Cape,ALOERIF|RIVERSDAL
2ae44f3a-397b-4239-a0d9-ab4acfd16944,6670,BEVERLEY HILLS,RIVERSDALE,Western Cape,RIVERSDAL
58a94ad8-9d60-4047-a06f-56002053acd5,6670,HEIDELAND,RIVERSDALE,Western Cape,RIVERSDAL
f83911b5-0cb2-405e-a3f5-f345c95c41bb,6665,HEIDELBERG,RIVERSDALE,Western Cape,
decbe0ec-ecff-4788-9546-37e244732c02,6670,KWA-NOKOTHULA,RIVERSDALE,Western Cape,RIVERSDAL
2dfcf0b5-ca30-40ba-9150-fbb79c7b6b8a,6670,MORESTOND,RIVERSDALE,Western Cape,RIVERSDAL|MORE STAND
0fab7979-337b-44f3-beb7-aef1aa00b550,6670,PANORAMA,RIVERSDALE,Western Cape,
1e0b273a-7ab3-4e56-b9c5-2618f56d8229,6674,STILL BAY,RIVERSDALE,Western Cape,STILBAAI|RIVERSDAL
aa42c446-2e75-4caf-b8dc-0dbee42b6f5e,6671,VERMAAKLIKHEID,RIVERSDALE,Western Cape,RIVERSDAL
