id,postal_code,area,city,province,aliases
6bf0a8a5-04f8-496a-b053-4cd6c31543bb,7441,BAYRIDGE,TABLE VIEW,Western Cape,
7c779f92-cf10-48a6-ae4e-0ae26e37f82a,7444,BLOUBERGRANT NORTH,TABLE VIEW,Western Cape,BLOUBERGRANT-NOORD
a43201e5-f269-4d0b-a9d5-d1cb5768c360,7441,BLOUBERGRISE,TABLE VIEW,Western Cape,
690c1296-e09b-42a9-8666-22444906ca16,7441,BUITENZORG VILLAGE,TABLE VIEW,Western Cape,BUITENZORGDORP
17e2af74-62af-4bdf-b631-ff6aecc9f83b,7441,BURGUNDY EST,TABLE VIEW,Western Cape,BURGUNDY LGD|BURGUNDY ESTATE|BURGUNDY LANDGOED
58410f67-f7af-44a9-a820-c35fade3cbba,7441,FLAMINGOVLEI,TABLE VIEW,Western Cape,
4c752c6d-2343-4e6e-a038-65d79370d8fd,7441,PARKGATE,TABLE VIEW,Western Cape,
66415f33-1f2b-4719-b366-783e7baa6164,7441,PARKLANDS NORTH,TABLE VIEW,Western Cape,PARKLANDS-NOORD|TAFELSIG
0a1cb88e-5c70-4e45-844c-c10d4bb1a2f2,7441,SUNRIDGE,TABLE VIEW,Western Cape,
4c7778ab-76be-4403-86c8-7de1eaa193c0,7441,SUNRIDGE EST,TABLE VIEW,Western Cape,SUNRIDGE LGD
2722f0dc-86cc-4b6d-bac9-f71d8f60c855,7441,TABLE VIEW EXT 10,TABLE VIEW,Western Cape,TABLE VIEW UIT 10
1dca7a13-06f4-48db-be26-36749b2d1a5c,7441,TABLE VIEW EXT 12,TABLE VIEW,Western Cape,TABLE VIEW UIT 12
7c9ab14b-82f1-4591-bff8-08ce050fa4c4,7441,TABLE VIEW EXT 5,TABLE VIEW,Western Cape,TABLE VIEW UIT 5
18ffb63a-6bdf-4e1c-8d30-52a56bbab15f,7441,TABLE VIEW EXT 8,TABLE VIEW,Western Cape,TABLE VIEW UIT 8
6f132625-78d9-49cd-a033-c75b998b3d7d,7433,WEST COAST VILLAGE,TABLE VIEW,Western Cape,WESKUS DORP|WESTCOAST VILLAGE|WESKUS VILLAGE
