id,postal_code,area,city,province,aliases
521c6776-0bda-49fe-8aed-416739f3dcb9,7655,BELLVIEW,WELLINGTON,Western Cape,
cdf3b65f-e984-45bb-bced-502dcf85eb42,7655,BERG EN DAL,WELLINGTON,Western Cape,
6a91f2a6-241d-4b8e-a1e6-f428065a78f1,7655,CARTERVILLE,WELLINGTON,Western Cape,
fa6fa4ed-b930-4404-9887-95ce4dc1bd70,7655,CHRIS HANI,WELLINGTON,Western Cape,
11096ab6-be74-40bc-b2ec-e9ca8a253292,7655,HILLCREST,WELLINGTON,Western Cape,
04ce7b0f-4292-43b1-ae07-fcc0f16ca9a8,7655,LAGABUYA,WELLINGTON,Western Cape,
49a85ca4-b248-4af1-8e8d-c4a3becb8b93,7655,NEWHCO,WELLINGTON,Western Cape,
1adcc32c-b543-41a7-a1e9-fd14a278bb1f,7655,NEWREST,WELLINGTON,Western Cape,NUWERUS
ae60633f-5aca-4e9b-935a-324065e128c5,7655,NEWTON,WELLINGTON,Western Cape,
54434c82-9a4d-4c33-bc31-8dc24e276d35,7655,ONVERWACHT WINE ESTATE,WELLINGTON,Western Cape,ONVERWACHT WYN LANDGOED
3be98cde-db0e-4193-bfac-8ce172322a1a,7655,PHOLA PARK,WELLINGTON,Western Cape,
cfcf12df-35f1-4fd0-b198-6f8f6341ed55,7655,POLLA PARK 1,WELLINGTON,Western Cape,
f19e8b83-886f-4fd5-b7d7-6ab31313d039,7655,PROJECT 2,WELLINGTON,Western Cape,
4761c1d5-486f-4cd8-bf19-ade4fc201e2b,7655,UITSIG,WELLINGTON,Western Cape,
ca4056c3-46d2-41c5-bf38-0619fe068d32,7655,VANWYKSVLEI,WELLINGTON,Western Cape,
66d4719c-1ccb-44e0-86ad-97bbf3a6bfb0,7655,WAMAKERSVALLEI,WELLINGTON,Western Cape,
25d0cf75-0f64-4714-a2b2-8c6614c65af9,7655,WELLINGTON,WELLINGTON,Western Cape,
32aea3bc-dc10-4b59-bea6-e96d7dc520bd,7655,WELTEVREDE,WELLINGTON,Western Cape,
ec3cfd85-dfa8-4a80-8370-e6c77a0bc00a,7655,WHITE CITY,WELLINGTON,Western Cape,
